index,y
2023-01-01_1J7,50.17645027769507
2023-01-01_O2O,20.020143983921372
2023-01-01_8QR,24.65463369781851
2023-01-01_L58,7.728733131537374
2023-01-01_UMC,56.787719519095184
2023-01-01_FK3,167.82637545925127
2023-01-01_I1K,57.28345547494174
2023-01-01_KY6,1325.3399979446965
2023-01-01_V8D,116.18545643404221
2023-01-01_EK4,210.88072572554907
2023-01-01_357,82.1574722459557
2023-01-01_O7B,127.23419460234209
2023-01-01_RYX,138.25874367182908
2023-01-01_TEP,369.58654257050887
2023-01-01_CUF,352.1829773169293
2023-01-01_4UY,37.85000826700589
2023-01-01_I9K,141.452308383202
2023-01-01_FA8,167.90501289320474
2023-01-01_EPD,277.58819043629444
2023-01-01_VML,23.643226294377655
2023-01-01_GV0,282.39413203274626
2023-01-01_5KB,122.33808396138723
2023-01-01_6WR,135.14707869038554
2023-01-01_BRZ,478.38638718481377
2023-01-01_BUY,168.90657555834528
2023-01-01_C3A,157.6253804840564
2023-01-01_276,66.72457756528571
2023-01-01_IFB,109.60851278190702
2023-01-01_1PW,2770.3994278934942
2023-01-01_6UW,1810.3208138216582
2023-01-01_RR1,1212.6346565329507
2023-01-01_XTG,4881.236689993893
2023-01-01_JXV,89.71554818732719
2023-01-01_OD3,310.36807807863624
2023-01-01_YTV,1353.1004193759345
2023-01-01_Z2T,1040.9994200786412
2023-01-01_GOJ,2055.937233812365
2023-01-01_8X9,1683.5643261140149
2023-01-01_R83,3391.3701710331484
2023-01-01_XIG,435.9808842948511
2023-01-01_CSD,930.1224250906637
2023-01-01_30R,537.3581545206582
2023-01-01_OOY,101.00509659476754
2023-01-01_JCN,2821.9609116930665
2023-01-01_G10,285.18636981057296
2023-01-01_MM6,39.39426804255954
2023-01-01_NT4,474.114212129744
2023-01-01_IOR,68.54248506787167
2023-01-01_J9C,110.7181642590648
2023-01-01_VI4,403.8566696647361
2023-01-01_8WZ,31.232957454539324
2023-01-01_FYB,897.3313978512209
2023-01-01_5GK,93.35249099391974
2023-01-01_QQJ,17.409449392187852
2023-01-01_E9M,41.48730189540973
2023-01-01_F77,121.05526824074416
2023-01-01_JX6,1638.1280869157406
2023-01-01_HW6,24.34899296755698
2023-01-01_30I,28.67247898390086
2023-01-01_CWQ,418.9618249397733
2023-01-01_4IM,17.948117274380422
2023-01-01_59A,23.07497425568817
2023-01-01_BZ0,38.08986563271581
2023-01-01_5S5,10.576721621126543
2023-01-01_MK9,231.42059400353506
2023-01-01_JCW,6949.988000889708
2023-01-01_34L,34.07951847894219
2023-01-01_EBP,41.615821146692866
2023-01-01_V4D,134.35197563986972
2023-01-01_3KU,1138.0095749440284
2023-01-01_BNR,69.47734043509085
2023-01-01_VGQ,316.76419844581926
2023-01-01_B3W,313.66252461608923
2023-01-01_HOX,33.3274880438431
2023-01-01_9WY,424.89693646415253
2023-01-01_N7J,1966.7565905497413
2023-01-01_4YU,142.8990564835233
2023-01-01_JD3,2633.488247409657
2023-01-01_RF2,192.37996631976526
2023-01-01_FBH,1523.5120181375398
2023-01-01_P4J,1316.6387793667018
2023-01-01_QV8,139.925858612132
2023-01-01_SH9,9739.713827893778
2023-01-01_DBV,212.07265148893288
2023-01-01_3NQ,260.9763069758382
2023-01-01_651,451.3627763088753
2023-01-01_HOC,632.0163248912731
2023-01-01_3W6,1654.8220049883128
2023-01-01_EIZ,203.55318486819726
2023-01-01_87K,291.2008101112589
2023-01-01_289,120.6028076241544
2023-01-01_XRB,696.2608807804174
2023-01-01_BKJ,642.8329374086911
2023-01-01_T91,546.5772515120643
2023-01-01_NVE,1586.4796851093856
2023-01-01_CJP,600.3477994208461
2023-01-01_5U5,3051.448362968347
2023-01-01_BPW,1391.0339119769915
2023-01-01_GKH,497.09709507884264
2023-01-01_XOK,875.0172580963915
2023-01-01_72S,229.4282893298891
2023-01-01_4PO,9702.873748289854
2023-01-01_5PK,597.2825941196601
2023-01-01_5WG,121.64638738064536
2023-01-01_J9O,168.96989086882436
2023-01-01_6DU,122.03324953568676
2023-01-01_MIH,2133.057428643314
2023-01-01_DSX,55.1585721922247
